s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 1.6001625E+001, 5.7234399E+001,-1.0659404E+001,-4.5542796E+001,-6.4565540E-001,-5.7400328E-003, 0.0000000E+000, 0.0000000E+000, 1.8475182E-001, 3.8080388E-001, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 1.6335899E+001, 5.7035195E+001,-1.0617138E+001,-5.2082270E+001,-6.3066447E-001,-5.7424301E-003, 0.0000000E+000, 0.0000000E+000,-6.3480328E+000,-6.3006205E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 1.6667439E+001, 5.7251667E+001,-1.0645260E+001,-4.2255302E+001,-6.0528475E-001,-5.7379536E-003, 0.0000000E+000, 0.0000000E+000, 3.8167267E+000, 3.7400819E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 1.7001751E+001, 5.8202597E+001,-1.0869836E+001,-4.4099141E+001,-5.8475057E-001,-5.7579855E-003, 0.0000000E+000, 0.0000000E+000, 2.6005056E+000, 2.6431112E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 1.7337084E+001, 5.7160481E+001,-1.0639564E+001,-5.5061695E+001,-6.1803108E-001,-5.7316232E-003, 0.0000000E+000, 0.0000000E+000,-9.1647129E+000,-9.1645401E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 1.7672001E+001, 5.7633331E+001,-1.0661752E+001,-3.7936631E+001,-6.0224263E-001,-5.7358505E-003, 0.0000000E+000, 0.0000000E+000, 8.2545293E+000, 8.4269687E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 1.8001102E+001, 5.6790247E+001,-1.0542133E+001,-4.3638301E+001,-6.0384178E-001,-5.7117127E-003, 0.0000000E+000, 0.0000000E+000, 2.0658449E+000, 2.0002596E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 1.8337860E+001, 5.7823743E+001,-1.0722403E+001,-4.2914229E+001,-6.2009749E-001,-5.7350004E-003, 0.0000000E+000, 0.0000000E+000, 3.6215565E+000, 3.5612794E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 1.8669979E+001, 5.7382792E+001,-1.0674846E+001,-3.9257231E+001,-6.6557552E-001,-5.7239661E-003, 0.0000000E+000, 0.0000000E+000, 6.6086731E+000, 6.7794157E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 1.9005117E+001, 5.8294880E+001,-1.0847606E+001,-4.2606702E+001,-6.2396653E-001,-5.7386110E-003, 0.0000000E+000, 0.0000000E+000, 4.4336299E+000, 4.2108661E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 1.9335865E+001, 5.6585228E+001,-1.0549716E+001,-5.1317442E+001,-6.5869461E-001,-5.7279082E-003, 0.0000000E+000, 0.0000000E+000,-6.0471625E+000,-5.9463532E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 1.9667454E+001, 5.7715009E+001,-1.0698580E+001,-5.2848350E+001,-6.7768907E-001,-5.7456283E-003, 0.0000000E+000, 0.0000000E+000,-6.4869097E+000,-6.5153559E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.0005220E+001, 5.7375206E+001,-1.0674401E+001,-4.4292193E+001,-6.6208990E-001,-5.7533849E-003, 0.0000000E+000, 0.0000000E+000, 1.7028047E+000, 1.7407686E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.0338280E+001, 5.7003167E+001,-1.0568673E+001,-4.4946186E+001,-6.2081475E-001,-5.7128324E-003, 0.0000000E+000, 0.0000000E+000, 8.8372519E-001, 8.6178035E-001, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.0669287E+001, 5.8492562E+001,-1.0927806E+001,-4.9603552E+001,-5.9026706E-001,-5.7699329E-003, 0.0000000E+000, 0.0000000E+000,-2.6492337E+000,-2.6348329E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.1000977E+001, 5.6303218E+001,-1.0428637E+001,-4.3689850E+001,-6.1841895E-001,-5.7212985E-003, 0.0000000E+000, 0.0000000E+000, 1.4380999E+000, 1.5605905E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.1339073E+001, 5.8450196E+001,-1.0856901E+001,-4.4568617E+001,-5.9779723E-001,-5.7688201E-003, 0.0000000E+000, 0.0000000E+000, 2.5772230E+000, 2.4211121E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.1672169E+001, 5.7509455E+001,-1.0776882E+001,-5.4771208E+001,-6.5451340E-001,-5.7602107E-003, 0.0000000E+000, 0.0000000E+000,-8.8290550E+000,-8.6989090E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.2005274E+001, 5.6738019E+001,-1.0513700E+001,-4.3044876E+001,-6.2802317E-001,-5.7557722E-003, 0.0000000E+000, 0.0000000E+000, 2.6604795E+000, 2.5456634E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.2334862E+001, 5.8338057E+001,-1.0787192E+001,-5.0696845E+001,-6.0351864E-001,-5.7803691E-003, 0.0000000E+000, 0.0000000E+000,-3.9766828E+000,-3.7552792E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.2670481E+001, 5.7403682E+001,-1.0662975E+001,-4.0088071E+001,-6.2114821E-001,-5.7711818E-003, 0.0000000E+000, 0.0000000E+000, 6.0456340E+000, 6.0257166E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.3002283E+001, 5.6737143E+001,-1.0495157E+001,-3.7177446E+001,-6.3185762E-001,-5.7234313E-003, 0.0000000E+000, 0.0000000E+000, 8.3504973E+000, 8.4269589E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.3335896E+001, 5.7102735E+001,-1.0653731E+001,-3.9893323E+001,-6.2006752E-001,-5.7189866E-003, 0.0000000E+000, 0.0000000E+000, 5.9370801E+000, 5.9298942E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.3669693E+001, 5.6920482E+001,-1.0538337E+001,-4.8604222E+001,-6.4736840E-001,-5.7140758E-003, 0.0000000E+000, 0.0000000E+000,-2.7053766E+000,-2.8751593E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.4001732E+001, 5.8846319E+001,-1.0959301E+001,-5.7511686E+001,-6.5792877E-001,-5.7391753E-003, 0.0000000E+000, 0.0000000E+000,-1.0424322E+001,-1.0288336E+001, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.4338322E+001, 5.7229601E+001,-1.0688104E+001,-4.2757810E+001,-6.3123248E-001,-5.7307922E-003, 0.0000000E+000, 0.0000000E+000, 3.1355068E+000, 3.1467236E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.4670950E+001, 5.7388666E+001,-1.0675134E+001,-5.2613415E+001,-6.4267617E-001,-5.7326411E-003, 0.0000000E+000, 0.0000000E+000,-6.4327692E+000,-6.5482923E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.5004562E+001, 5.8348022E+001,-1.0840351E+001,-5.0324967E+001,-6.0880740E-001,-5.7888216E-003, 0.0000000E+000, 0.0000000E+000,-3.6436714E+000,-3.4318922E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.5334595E+001, 5.6503785E+001,-1.0481344E+001,-4.0095654E+001,-5.8596563E-001,-5.7737965E-003, 0.0000000E+000, 0.0000000E+000, 5.2978847E+000, 5.3350485E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.5670630E+001, 5.7704034E+001,-1.0724957E+001,-4.1442888E+001,-5.9452355E-001,-5.7596186E-003, 0.0000000E+000, 0.0000000E+000, 4.8841579E+000, 4.9359062E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.6004206E+001, 5.7612996E+001,-1.0757573E+001,-4.6736610E+001,-6.0771796E-001,-5.7560041E-003, 0.0000000E+000, 0.0000000E+000,-4.2386303E-001,-4.9466047E-001, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.6335602E+001, 5.7324093E+001,-1.0658734E+001,-4.4815230E+001,-6.1524206E-001,-5.7559353E-003, 0.0000000E+000, 0.0000000E+000, 1.1842915E+000, 1.2291313E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.6670034E+001, 5.7681974E+001,-1.0744218E+001,-5.6831229E+001,-6.0233041E-001,-5.7538116E-003, 0.0000000E+000, 0.0000000E+000,-1.0355386E+001,-1.0501557E+001, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.7003624E+001, 5.6511846E+001,-1.0488883E+001,-5.0356443E+001,-6.5403356E-001,-5.7534665E-003, 0.0000000E+000, 0.0000000E+000,-5.2402566E+000,-4.9932660E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.7337503E+001, 5.8272302E+001,-1.0876723E+001,-3.9502528E+001,-5.8975355E-001,-5.7654286E-003, 0.0000000E+000, 0.0000000E+000, 7.3327359E+000, 7.2975313E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.7667593E+001, 5.7033977E+001,-1.0604114E+001,-5.3699178E+001,-6.1028635E-001,-5.7421601E-003, 0.0000000E+000, 0.0000000E+000,-7.8908292E+000,-7.8853433E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.8001656E+001, 5.7775317E+001,-1.0766692E+001,-4.5721717E+001,-6.1218701E-001,-5.7450372E-003, 0.0000000E+000, 0.0000000E+000, 5.3586381E-001, 6.6897540E-001, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.8336864E+001, 5.7457111E+001,-1.0665973E+001,-3.3720155E+001,-5.9049186E-001,-5.7411184E-003, 0.0000000E+000, 0.0000000E+000, 1.2469398E+001, 1.2474750E+001, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.8667025E+001, 5.7532882E+001,-1.0704983E+001,-4.9925531E+001,-6.2145442E-001,-5.7517036E-003, 0.0000000E+000, 0.0000000E+000,-3.5902862E+000,-3.7248384E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.9001339E+001, 5.7503918E+001,-1.0690603E+001,-4.8443047E+001,-6.3259659E-001,-5.7466175E-003, 0.0000000E+000, 0.0000000E+000,-2.3140096E+000,-2.2680760E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.9336990E+001, 5.7041935E+001,-1.0591783E+001,-4.6183272E+001,-6.2220030E-001,-5.7362584E-003, 0.0000000E+000, 0.0000000E+000,-5.0087772E-001,-3.6105669E-001, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 2.9670153E+001, 5.7935169E+001,-1.0839137E+001,-4.4563408E+001,-6.0926517E-001,-5.7532269E-003, 0.0000000E+000, 0.0000000E+000, 1.9709483E+000, 1.9176056E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 3.0005356E+001, 5.6813139E+001,-1.0542447E+001,-4.7458876E+001,-6.2925427E-001,-5.7303690E-003, 0.0000000E+000, 0.0000000E+000,-1.8988285E+000,-1.8231692E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 3.0337755E+001, 5.7963409E+001,-1.0694350E+001,-4.0838793E+001,-6.2189698E-001,-5.7399712E-003, 0.0000000E+000, 0.0000000E+000, 5.7550135E+000, 5.8026285E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 3.0671503E+001, 5.6827267E+001,-1.0571705E+001,-4.8882605E+001,-6.5986967E-001,-5.7071810E-003, 0.0000000E+000, 0.0000000E+000,-3.1963152E+000,-3.2926190E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 3.1005770E+001, 5.8330803E+001,-1.0856725E+001,-3.6663973E+001,-6.1497399E-001,-5.7646515E-003, 0.0000000E+000, 0.0000000E+000, 1.0069063E+001, 1.0189366E+001, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 3.1338093E+001, 5.7046291E+001,-1.0599459E+001,-4.1985103E+001,-6.3795598E-001,-5.7174427E-003, 0.0000000E+000, 0.0000000E+000, 3.9480836E+000, 3.8180552E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 3.1669088E+001, 5.8129088E+001,-1.0891086E+001,-5.1534159E+001,-6.5914715E-001,-5.7906061E-003, 0.0000000E+000, 0.0000000E+000,-5.0018126E+000,-4.9610950E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 3.2001968E+001, 5.6441182E+001,-1.0484804E+001,-5.8399163E+001,-6.8516655E-001,-5.7239536E-003, 0.0000000E+000, 0.0000000E+000,-1.3147612E+001,-1.3133676E+001, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 3.2335499E+001, 5.8403298E+001,-1.0891225E+001,-3.6190904E+001,-7.1201982E-001,-5.7676940E-003, 0.0000000E+000, 0.0000000E+000, 1.0695092E+001, 1.0603381E+001, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 3.2669464E+001, 5.8164640E+001,-1.0804393E+001,-5.8483740E+001,-7.0006076E-001,-5.7845595E-003, 0.0000000E+000, 0.0000000E+000,-1.1884166E+001,-1.1829339E+001, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 3.3000679E+001, 5.6819378E+001,-1.0531571E+001,-4.8450326E+001,-6.4522476E-001,-5.7188080E-003, 0.0000000E+000, 0.0000000E+000,-2.8644955E+000,-2.8134629E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 3.3335369E+001, 5.7531982E+001,-1.0682172E+001,-3.7482381E+001,-6.1565412E-001,-5.7344347E-003, 0.0000000E+000, 0.0000000E+000, 8.5931793E+000, 8.7460407E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 3.3667747E+001, 5.6842290E+001,-1.0515238E+001,-3.8964979E+001,-5.9192857E-001,-5.7140954E-003, 0.0000000E+000, 0.0000000E+000, 6.8562521E+000, 6.7644300E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 3.4001923E+001, 5.7878409E+001,-1.0748424E+001,-3.7760127E+001,-6.4189517E-001,-5.7438060E-003, 0.0000000E+000, 0.0000000E+000, 8.6784330E+000, 8.7222195E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 3.4338089E+001, 5.8508025E+001,-1.0873338E+001,-5.4197126E+001,-6.5604171E-001,-5.8014335E-003, 0.0000000E+000, 0.0000000E+000,-7.2045747E+000,-7.2242820E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
