Time(s),Temperature(°C),(mg)
740,50.500000,-0.00168742
741,50.700000,-0.00182241
742,50.900000,-0.00170501
743,51.100000,-0.0019207
744,51.300000,-0.00174739
745,51.500000,-0.00167272
746,51.700000,-0.00171753
747,51.900000,-0.00168901
748,52.100000,-0.0016669
749,52.300000,-0.0016692
750,52.500000,-0.00164255
751,52.700000,-0.00185051
752,53.000000,-0.00184743
753,53.200000,-0.00161302
754,53.400000,-0.00135017
755,53.600000,-0.00114047
756,53.800000,-0.00116209
757,54.000000,-0.00126751
758,54.200000,-0.00130108
759,54.400000,-0.00149125
760,54.700000,-0.00142858
761,54.900000,-0.00142152
762,55.100000,-0.00154369
763,55.300000,-0.00149609
764,55.600000,-0.00123958
765,55.800000,-0.000957096
766,56.000000,-0.00082496
767,56.200000,-0.000753
768,56.400000,-0.000747898
769,56.600000,-0.00109862
770,56.800000,-0.00143549
771,57.100000,-0.00165249
772,57.300000,-0.00163107
773,57.500000,-0.00159226
774,57.700000,-0.00167807
775,58.000000,-0.00172596
776,58.200000,-0.00155865
777,58.400000,-0.00155803
778,58.600000,-0.00159901
779,58.800000,-0.0017056
780,59.000000,-0.00172749
781,59.300000,-0.00175689
782,59.500000,-0.00182821
783,59.700000,-0.00187604
784,59.900000,-0.00171849
785,60.100000,-0.00171149
786,60.400000,-0.00170602
787,60.600000,-0.00172254
788,60.800000,-0.00167444
789,61.000000,-0.00145023
790,61.300000,-0.00113719
791,61.500000,-0.000828366
792,61.700000,-0.000620408
793,61.900000,-0.00038917
794,62.100000,-0.000246823
795,62.400000,-0.000141435
796,62.600000,1.79373e-06
797,62.800000,4.60645e-05
798,63.000000,-2.37955e-05
799,63.200000,-0.000149304
800,63.400000,-0.00032973
801,63.700000,-0.000512998
802,63.900000,-0.000565818
803,64.100000,-0.000607809
804,64.300000,-0.000653233
805,64.500000,-0.00057176
806,64.800000,-0.000338768
807,65.000000,-0.000125988
808,65.200000,3.74101e-05
809,65.400000,0.00018325
810,65.600000,0.000351251
811,65.800000,0.00055071
812,66.100000,0.000788023
813,66.300000,0.00104745
814,66.500000,0.00131944
815,66.700000,0.0015297
816,66.900000,0.00170937
817,67.100000,0.00194089
818,67.300000,0.00221323
819,67.500000,0.00249032
820,67.700000,0.00279694
821,67.900000,0.00302715
822,68.100000,0.0031138
823,68.300000,0.00306757
824,68.500000,0.00301585
825,68.700000,0.00290285
826,68.900000,0.00280415
827,69.100000,0.0027411
828,69.300000,0.00267693
829,69.500000,0.00260685
830,69.700000,0.00251373
831,69.900000,0.00238104
832,70.100000,0.00226092
833,70.300000,0.00213029
834,70.600000,0.00201165
835,70.800000,0.00196102
836,71.000000,0.00195844
837,71.200000,0.00191164
838,71.400000,0.00184041
839,71.600000,0.00185193
840,71.800000,0.0018509
841,72.000000,0.00187193
842,72.200000,0.00195396
843,72.400000,0.00205043
844,72.500000,0.00218126
845,72.700000,0.00224336
846,72.900000,0.00225188
847,73.100000,0.00220217
848,73.400000,0.00219177
849,73.500000,0.00222705
850,73.700000,0.00226695
851,73.900000,0.00231705
852,74.100000,0.00232783
853,74.300000,0.00230596
854,74.500000,0.00225066
855,74.700000,0.00217006
856,74.900000,0.00212119
857,75.100000,0.00209416
858,75.300000,0.00211216
859,75.400000,0.0021447
860,75.600000,0.00213823
861,75.800000,0.00207738
862,76.000000,0.00200086
863,76.200000,0.00188968
864,76.400000,0.001733
865,76.600000,0.0015474
866,76.700000,0.00137073
867,76.900000,0.00122294
868,77.100000,0.00112363
869,77.300000,0.00110588
870,77.500000,0.00116913
871,77.700000,0.0013292
872,77.900000,0.00155812
873,78.000000,0.00175719
874,78.200000,0.00186476
875,78.400000,0.00184427
876,78.600000,0.0017968
877,78.800000,0.00173414
878,79.000000,0.00166761
879,79.100000,0.00160621
880,79.300000,0.00154079
881,79.500000,0.00147312
882,79.700000,0.00140936
883,79.900000,0.00128597
884,80.000000,0.0010763
885,80.200000,0.000797436
886,80.400000,0.000467096
887,80.600000,0.000126694
888,80.800000,-0.000145866
889,80.900000,-0.000327024
890,81.100000,-0.000447576
891,81.300000,-0.000547139
892,81.500000,-0.000597443
893,81.700000,-0.000603305
894,81.800000,-0.00056479
895,82.000000,-0.000537392
896,82.200000,-0.000552149
897,82.400000,-0.000575002
898,82.500000,-0.000555044
899,82.700000,-0.000505991
900,82.900000,-0.000435663
901,83.100000,-0.000336403
902,83.300000,-0.000231072
903,83.400000,-0.000152628
904,83.600000,-0.000111649
905,83.800000,-0.000134748
906,83.900000,-0.000169755
907,84.100000,-0.00018314
908,84.300000,-0.000191635
909,84.500000,-0.0002246
910,84.700000,-0.000243606
911,84.800000,-0.000249709
912,85.000000,-0.000270428
913,85.200000,-0.000308563
